rank	candidate_type	candidate	pert_a	pert_b	score	target_efficacy	healthy_penalty	realism_penalty	seed_candidate	neighbor_rank	retrieval_distance
1	optimized_pair_raw	__continuous_pair__			0.22746455669403076	1.053460955619812	0.8259963989257812	0.1346207559108734	TARGET2 + TARGET3	0.0	0.0
2	optimized_pair_neighbor	TARGET2 + TARGET3	TARGET2	TARGET3	0.227453351020813	1.053505539894104	0.826052188873291	0.1346207559108734	TARGET2 + TARGET3	1.0	0.13462074846029282
3	pair	TARGET2 + TARGET3	TARGET2	TARGET3	0.227453351020813	1.053505539894104	0.826052188873291				
4	optimized_pair_neighbor	TARGET2 + TARGET4	TARGET2	TARGET4	0.22739505767822266	1.0538251399993896	0.826430082321167	0.1346207559108734	TARGET2 + TARGET3	2.0	2.7897441387176514
5	pair	TARGET2 + TARGET4	TARGET2	TARGET4	0.22739505767822266	1.0538251399993896	0.826430082321167				
6	optimized_pair_neighbor	TARGET3 + TARGET4	TARGET3	TARGET4	0.22734993696212769	1.0542157888412476	0.8268658518791199	0.1346207559108734	TARGET2 + TARGET3	1.0	1.4405230283737183
7	pair	TARGET3 + TARGET4	TARGET3	TARGET4	0.22734993696212769	1.0542157888412476	0.8268658518791199				
8	pair	TARGET2 + TARGET5	TARGET2	TARGET5	0.22734135389328003	1.0531083345413208	0.8257669806480408				
9	pair	TARGET3 + TARGET5	TARGET3	TARGET5	0.22729647159576416	1.053500771522522	0.8262042999267578				
10	pair	TARGET4 + TARGET5	TARGET4	TARGET5	0.22723793983459473	1.0538195371627808	0.826581597328186				
11	optimized_single_raw	__continuous_single__			0.11375558376312256	0.5265448093414307	0.4127892255783081	0.06687717139720917	TARGET2	0.0	0.0
12	optimized_single_neighbor	TARGET2	TARGET2		0.11374923586845398	0.5265583992004395	0.4128091633319855	0.06687717139720917	TARGET2	1.0	0.06687717139720917
13	single	TARGET2	TARGET2		0.11374923586845398	0.5265583992004395	0.4128091633319855				
14	single	TARGET3	TARGET3		0.1137041449546814	0.5269486308097839	0.41324448585510254				
15	optimized_single_neighbor	TARGET4	TARGET4		0.11364579200744629	0.5272679328918457	0.4136221408843994	0.06687717139720917	TARGET2	2.0	1.3727794885635376
16	single	TARGET4	TARGET4		0.11364579200744629	0.5272679328918457	0.4136221408843994				
17	single	TARGET5	TARGET5		0.11359220743179321	0.5265524387359619	0.4129602313041687				
