rank	candidate_type	candidate	pert_a	pert_b	score	target_efficacy	healthy_penalty	realism_penalty	seed_candidate	neighbor_rank	retrieval_distance
1	optimized_pair_neighbor	TARGET2 + TARGET4	TARGET2	TARGET4	0.0609927773475647	0.6654043793678284	0.6044116020202637	0.1571694314479828	TARGET4 + TARGET2	1.0	0.15716943889856339
2	pair	TARGET4 + TARGET2	TARGET4	TARGET2	0.0609927773475647	0.6654043793678284	0.6044116020202637				
3	optimized_pair_raw	__continuous_pair__			0.06088149547576904	0.6653854846954346	0.6045039892196655	0.1571694314479828	TARGET4 + TARGET2	0.0	0.0
4	optimized_pair_neighbor	TARGET3 + TARGET4	TARGET3	TARGET4	0.06075531244277954	0.6649051308631897	0.6041498184204102	0.1571694314479828	TARGET4 + TARGET2	2.0	2.781542181968689
5	pair	TARGET4 + TARGET3	TARGET4	TARGET3	0.06075531244277954	0.6649051308631897	0.6041498184204102				
6	optimized_pair_neighbor	TARGET2 + TARGET3	TARGET2	TARGET3	0.060416579246520996	0.6645417213439941	0.6041251420974731	0.1571694314479828	TARGET4 + TARGET2	1.0	1.4444881081581116
7	pair	TARGET2 + TARGET3	TARGET2	TARGET3	0.060416579246520996	0.6645417213439941	0.6041251420974731				
8	optimized_pair_neighbor	TARGET4 + TARGET5	TARGET4	TARGET5	0.0603371262550354	0.6656435132026672	0.6053063869476318	0.1571694314479828	TARGET4 + TARGET2	1.0	1.444206990301609
9	pair	TARGET4 + TARGET5	TARGET4	TARGET5	0.0603371262550354	0.6656435132026672	0.6053063869476318				
10	optimized_pair_neighbor	TARGET2 + TARGET5	TARGET2	TARGET5	0.05999869108200073	0.665280282497406	0.6052815914154053	0.1571694314479828	TARGET4 + TARGET2	1.0	1.4446846842765808
11	pair	TARGET2 + TARGET5	TARGET2	TARGET5	0.05999869108200073	0.665280282497406	0.6052815914154053				
12	optimized_pair_neighbor	TARGET3 + TARGET5	TARGET3	TARGET5	0.059760451316833496	0.6647824048995972	0.6050219535827637	0.1571694314479828	TARGET4 + TARGET2	2.0	2.7315256595611572
13	pair	TARGET3 + TARGET5	TARGET3	TARGET5	0.059760451316833496	0.6647824048995972	0.6050219535827637				
14	optimized_single_neighbor	TARGET4	TARGET4		0.030665546655654907	0.33288830518722534	0.30222275853157043	0.07852634787559509	TARGET4	1.0	0.07852634787559509
15	single	TARGET4	TARGET4		0.030665546655654907	0.33288830518722534	0.30222275853157043				
16	optimized_single_raw	__continuous_single__			0.030608713626861572	0.3328527808189392	0.30224406719207764	0.07852634787559509	TARGET4	0.0	0.0
17	single	TARGET2	TARGET2		0.030327200889587402	0.33252036571502686	0.30219316482543945				
18	optimized_single_neighbor	TARGET3	TARGET3		0.030089497566223145	0.3320233225822449	0.30193382501602173	0.07852634787559509	TARGET4	2.0	1.3658409118652344
19	single	TARGET3	TARGET3		0.030089497566223145	0.3320233225822449	0.30193382501602173				
20	optimized_single_neighbor	TARGET5	TARGET5		0.02967163920402527	0.33276262879371643	0.30309098958969116	0.07852634787559509	TARGET4	3.0	1.3660377264022827
21	single	TARGET5	TARGET5		0.02967163920402527	0.33276262879371643	0.30309098958969116				
